Date,Open,High,Low,Close,Volume
23-10-2000,2206.8,2218.7,2100.7,2107.55,27041823
24-10-2000,2107.05,2124.5,2078.75,2113,28044223
25-10-2000,2117.65,2198.8,2117.65,2188.5,24834912
26-10-2000,2191,2230.35,2173.75,2222.25,12645790
27-10-2000,2224.8,2254.35,2209.6,2248,23626299
30-10-2000,2250.85,2263.6,2209.85,2214.85,22457924
31-10-2000,2214.9,2243.8,2190,2234.3,25952070
01-11-2000,2249.65,2298.5,2249.65,2284.6,23851000
02-11-2000,2284,2324.6,2272.75,2321.75,21528852
03-11-2000,2322.7,2373.1,2322.7,2356.25,23714904
06-11-2000,2356.4,2389.1,2356.4,2368.55,25845678
07-11-2000,2363.1,2387.45,2354.55,2382.05,34458301
08-11-2000,2383.25,2446.6,2383.25,2424.45,30758668
09-11-2000,2420.5,2433.65,2401.55,2428,21838971
10-11-2000,2425,2425,2338.8,2345.6,26294298
13-11-2000,2342.45,2342.45,2238.75,2246.1,21333571
14-11-2000,2246.65,2347.2,2244.3,2339.4,27238347
15-11-2000,2343.35,2409.75,2343.35,2370.85,23270730
16-11-2000,2371.1,2426.55,2370.85,2406.4,26887743
17-11-2000,2405.75,2410.65,2364.9,2405.1,23290655
20-11-2000,2405.6,2419.4,2388.5,2403.6,22039236
21-11-2000,2399.35,2399.35,2363.6,2384.7,24426383
22-11-2000,2385.5,2417.05,2369.55,2374.95,21155214
23-11-2000,2372.35,2402.05,2339.5,2398.95,22683136
24-11-2000,2398.4,2413,2393.8,2398.65,23290221
27-11-2000,2399.25,2471.4,2399.25,2465.65,27430225
28-11-2000,2466.05,2483.7,2452.35,2469.2,24913130
29-11-2000,2463.35,2502.3,2442.95,2486.6,24739544
30-11-2000,2493.15,2516.7,2461.75,2477.25,20780656
01-12-2000,2467.45,2493.85,2439.55,2486.7,30406344
04-12-2000,2487,2520.45,2486.05,2490.3,24262364
05-12-2000,2491.25,2528.75,2491.25,2520.8,30262813
06-12-2000,2537.3,2594.6,2537.3,2559.6,29754679
07-12-2000,2559.1,2583.45,2553.9,2572.35,19912888
08-12-2000,2573,2618,2573,2615.1,24673552
11-12-2000,2617.05,2659.8,2617.05,2652.3,28064342
12-12-2000,2652.5,2674.8,2645.15,2655.05,25786383
13-12-2000,2656.05,2722.75,2656.05,2708,26421000
14-12-2000,2708.35,2737.7,2679.85,2685.85,25554833
15-12-2000,2680.65,2680.65,2513.95,2532,36606540
18-12-2000,2531.05,2561.3,2460.9,2553.25,24280236
19-12-2000,2553.2,2555.15,2489.8,2495.2,27142118
20-12-2000,2492,2511.7,2457.15,2501.4,20577320
21-12-2000,2495.45,2495.45,2406.2,2442.95,21653618
22-12-2000,2442.3,2470.05,2315.75,2326.25,30918097
26-12-2000,2327.4,2347.55,2228.1,2264.45,29882172
27-12-2000,2266,2351.1,2260.75,2337,26713459
28-12-2000,2345.25,2400.45,2345.25,2384.35,18124441
29-12-2000,2385.25,2429.7,2380.7,2426.05,21496714
01-01-2001,2424.6,2452.3,2408.4,2419.2,16942736
02-01-2001,2416.75,2456.2,2414.9,2447.7,17723839
03-01-2001,2434.3,2469.25,2426.55,2462.3,18481162
04-01-2001,2463.45,2555.75,2463.45,2498,24439827
05-01-2001,2497.35,2538.9,2495.15,2531.25,27094943
08-01-2001,2531.4,2531.4,2405.6,2416.55,26242705
09-01-2001,2409.75,2420.55,2372.75,2385.5,29143319
10-01-2001,2401.55,2432.4,2358.8,2384.1,22484291
11-01-2001,2387.25,2399.45,2345,2354.05,21729029
12-01-2001,2357.15,2386.8,2338.75,2347.2,30806117
15-01-2001,2347,2353.3,2282.85,2296.6,24961879
16-01-2001,2297.9,2336.8,2288.5,2296.8,28364200
17-01-2001,2309.7,2353.25,2298.4,2307.65,27021601
18-01-2001,2312.15,2339,2307.1,2334.85,34141134
19-01-2001,2337.75,2389,2337.75,2382.5,40213592
22-01-2001,2384.85,2446.15,2384.85,2440.2,36363391
23-01-2001,2438.9,2439.8,2405,2412.35,26621208
24-01-2001,2413.75,2445.05,2413.25,2439.25,31319831
25-01-2001,2441.3,2456.55,2400.45,2435.25,30482575
29-01-2001,2433.55,2435.85,2351.1,2376.85,23455518
30-01-2001,2379.3,2428.5,2379.3,2424.6,35453230
31-01-2001,2426.65,2451.05,2398.7,2407.7,37591546
01-02-2001,2400.9,2400.9,2318.2,2337.15,35562849
02-02-2001,2333.1,2367.6,2323.15,2340.45,39019048
05-02-2001,2334.8,2367.65,2320.65,2350.25,29519330
06-02-2001,2350.7,2400.75,2350.7,2383.85,32954281
07-02-2001,2389.9,2424.8,2372.25,2378.65,32513477
08-02-2001,2377.5,2447.15,2367.05,2441.6,34384515
09-02-2001,2442.7,2492.4,2437.5,2458.8,31206112
12-02-2001,2457.65,2509.25,2451.75,2504,33638002
13-02-2001,2504.45,2516.35,2434.1,2444.25,39857327
14-02-2001,2442.25,2460.8,2423.7,2456.15,21099245
15-02-2001,2459.05,2480.05,2458.15,2466.6,22067459
16-02-2001,2464.05,2471.9,2335.9,2346.35,35270929
19-02-2001,2340.9,2372.25,2306.25,2340,32517065
20-02-2001,2341.3,2347.35,2308.5,2318.85,29491553
21-02-2001,2311.8,2329.65,2279.05,2297.4,26062558
22-02-2001,2295.85,2295.85,2199.35,2248.45,35807102
23-02-2001,2246.7,2249.8,2147.6,2167.05,36390156
26-02-2001,2167.45,2167.95,2108.3,2139,29352081
27-02-2001,2139.8,2162.2,2034.25,2042.6,37951261
28-02-2001,2026.3,2158.55,2023.1,2141.45,41510298
01-03-2001,2158.2,2258.75,2158.2,2208.65,40580838
02-03-2001,2222.45,2250.6,2087.4,2096.75,39620395
05-03-2001,2091.05,2107.15,1993.6,2017.1,42066177
07-03-2001,2026.8,2073.55,1927.85,1992.7,40376096
08-03-2001,1992.95,2008.5,1935.5,1941.7,22942789
09-03-2001,1941.1,1941.1,1797.05,1833.2,20879420
12-03-2001,1832.65,1832.65,1723.05,1727.1,17183671
13-03-2001,1726.25,1726.25,1570.2,1588.8,21834615
14-03-2001,1587.9,1668.6,1581,1664.45,24182974
15-03-2001,1662.05,1724.05,1627.2,1718.85,39525332
16-03-2001,1717.4,1735.7,1658.7,1675.6,31063209
19-03-2001,1673.25,1694,1661.35,1676.25,18503941
20-03-2001,1677.8,1681.35,1634.45,1665.8,16441050
21-03-2001,1662.05,1670.25,1630,1666.65,10834980
22-03-2001,1665.75,1686.1,1657.15,1669.25,12279035
23-03-2001,1669.55,1680.65,1610.3,1627.9,15567004
26-03-2001,1627.65,1637.7,1596.3,1635.05,10655720
27-03-2001,1635.6,1661.9,1622.3,1657.35,17017055
28-03-2001,1658.55,1702.7,1658.55,1696.25,13603553
29-03-2001,1695.85,1695.85,1661.5,1675.2,9662150
30-03-2001,1673.75,1675.75,1598.3,1601.8,11860765
